abs_error_1m,ipa_result,mc_1m,mc_100k,node_id,mc_10k,abs_error_10k,abs_error_100k
0.00018532289286343762,0.9162406771071365,0.916426,0.91437,1,0.915,0.0012406771071364897,0.0018706771071365091
0.0003408736068236662,0.7714021263931763,0.771743,0.77013,2,0.7719,0.0004978736068237399,0.0012721263931763094
0.00020247041961984902,0.5940504704196199,0.593848,0.59276,3,0.595,0.0009495295803800818,0.001290470419619938
0.0006334190285426922,0.4719374190285427,0.471304,0.46821,4,0.4701,0.001837419028542675,0.003727419028542678
0.0001843469232705175,0.5672013469232705,0.567017,0.56321,5,0.5693,0.0020986530767295175,0.003991346923270522
0.0003231815100860347,0.5315821815100861,0.531259,0.52819,6,0.5322,0.000617818489913935,0.003392181510086023
5.8490735839411556e-5,0.8227414907358395,0.822683,0.81986,7,0.8204,0.0023414907358394466,0.0028814907358394315
0.00027606591540396686,0.653610934084596,0.653887,0.65093,8,0.6488,0.004810934084595986,0.0026809340845960206
0.0009606869404913398,0.38422731305950864,0.385188,0.38272,9,0.3836,0.0006273130595086385,0.0015073130595086304
0.0008168210280091737,0.7158181789719908,0.716635,0.71639,10,0.7195,0.00368182102800918,0.0005718210280091229
0.0006305335169646265,0.6863084664830353,0.686939,0.68535,11,0.6861,0.0002084664830352967,0.0009584664830353251
0.0006029452720848205,0.5278170547279152,0.52842,0.52468,12,0.5221,0.005717054727915172,0.003137054727915145
0.0011215112103950542,0.643927511210395,0.642806,0.64172,13,0.6475,0.0035724887896049218,0.0022075112103950856
5.247914098782669e-5,0.5600514791409879,0.559999,0.55827,14,0.5627,0.0026485208590121267,0.0017814791409878072
0.00010857762296978546,0.5040565776229697,0.503948,0.50414,15,0.5081,0.004043422377030259,8.342237703029554e-5
0.00021510403806479506,0.5759031040380648,0.575688,0.57594,16,0.5785,0.0025968959619352416,3.689596193523492e-5
0.00037886018609240013,0.4053581398139076,0.405737,0.40423,17,0.4012,0.004158139813907613,0.001128139813907636
0.0005733938157507223,0.8625703938157507,0.861997,0.86284,18,0.8609,0.001670393815750737,0.0002696061842493158
0.00040437037679497134,0.540381629623205,0.540786,0.5383,19,0.5365,0.0038816296232050407,0.002081629623205017
0.0007051261486180072,0.414816873851382,0.415522,0.4124,20,0.4067,0.00811687385138199,0.0024168738513820065
0.0007126291611140312,0.617920370838886,0.618633,0.61609,21,0.6135,0.004420370838885912,0.0018303708388859308
0.00018248663708630986,0.5852194866370863,0.585037,0.58303,22,0.5821,0.0031194866370863883,0.002189486637086291
0.00022016846668715395,0.46034816846668714,0.460128,0.45832,23,0.4602,0.00014816846668713746,0.0020281684666871302
0.0003495499590619455,0.409453450040938,0.409803,0.40796,24,0.408,0.0014534500409380535,0.001493450040938038
0.0001150510930496007,0.3274539489069504,0.327569,0.3254,25,0.328,0.0005460510930496154,0.002053948906950376
0.00023492710778805215,0.26284092710778806,0.262606,0.2601,26,0.2638,0.0009590728922119207,0.0027409271077880604
0.00037832622373934477,0.20709832622373933,0.20672,0.20423,27,0.2047,0.002398326223739339,0.002868326223739337
0.0004111186172759407,0.23964588138272405,0.240057,0.23849,28,0.2401,0.0004541186172759559,0.0011558813827240444
0.0005044836621984905,0.21556551633780152,0.21607,0.21456,29,0.2199,0.004334483662198491,0.0010055163378015208
0.0004841786765730771,0.34996717867657307,0.349483,0.35082,30,0.3513,0.001332821323426936,0.0008528213234269555
1.6140171527845304e-5,0.2649761401715278,0.26496,0.2665,31,0.2652,0.00022385982847217267,0.001523859828472196
8.513731108852896e-5,0.19123913731108852,0.191154,0.19205,32,0.1909,0.0003391373110885332,0.000810862688911479
0.0005195369870014122,0.3070095369870014,0.30649,0.3059,33,0.3026,0.004409536987001417,0.0011095369870013916
0.00044028836779896885,0.282262288367799,0.281822,0.2824,34,0.2807,0.0015622883677989807,0.00013771163220099858
0.0004439474005832056,0.2092040525994168,0.209648,0.21008,35,0.2119,0.0026959474005832096,0.0008759474005831935
0.0003739913624321023,0.5873670086375679,0.587741,0.58614,36,0.5823,0.005067008637567816,0.0012270086375678613
0.00022495388358290125,0.5704840461164171,0.570709,0.57164,37,0.5709,0.00041595388358284247,0.0011559538835829164
0.0002889754916266529,0.6497019754916267,0.649413,0.64936,38,0.6442,0.005501975491626676,0.00034197549162662266
0.00018364105024426536,0.6198573589497557,0.620041,0.62106,39,0.6204,0.0005426410502442636,0.0012026410502442575
0.00013486613955393523,0.4302131338604461,0.430348,0.43164,40,0.4288,0.0014131338604460586,0.0014268661395539506
8.528319359457637e-5,0.9049167168064054,0.905002,0.90617,41,0.9029,0.002016716806405361,0.0012532831935946342
0.00010015503775540058,0.2275941550377554,0.227494,0.22732,42,0.2218,0.005794155037755405,0.00027415503775540806
0.0001353489880819847,0.16785865101191802,0.167994,0.16832,43,0.1618,0.00605865101191802,0.00046134898808197766
0.0002316402162743092,0.4417303597837257,0.441962,0.44266,44,0.4413,0.00043035978372568673,0.0009296402162742856
6.704158133968852e-5,0.37806495841866034,0.378132,0.37926,45,0.3723,0.005764958418660315,0.0011950415813396509
0.0003375903983392492,0.31056159039833925,0.310224,0.3123,46,0.3046,0.005961590398339267,0.001738409601660773
5.154644115379359e-6,0.3217961546441154,0.321791,0.32226,47,0.3148,0.006996154644115349,0.00046384535588461784
2.317683334585041e-6,0.2516273176833346,0.251625,0.25232,48,0.2455,0.006127317683334577,0.0006926823166654161
6.1019706782239336e-5,0.17381898029321777,0.17388,0.17363,49,0.1694,0.004418980293217772,0.00018898029321776089
