Node,AlgoValue,MCValue(1million),Diff,MCValue(100thousand),Diff,MCValue(10thousand),Diff
122,0.694660319,0.694006,0.000654319,0.90191,0.00191,0.6589,0.006388936
892,0.862509789,0.861856,0.000653789,0.67488,0.001902417,0.6704,0.006382417
471,0.853310021,0.853963,0.000652979,0.85735,0.001896242,0.8554,0.006340257
83,0.691508783,0.69086,0.000648783,0.89812,0.00188,0.8481,0.006324603
730,0.861413538,0.860765,0.000648538,0.90187,0.00187,0.8612,0.00631
372,0.862509789,0.861865,0.000644789,0.67492,0.001862417,0.8937,0.0063
516,0.824465398,0.825109,0.000643602,0.85256,0.001855412,0.868,0.006259743
765,0.9,0.900642,0.000642,0.85977,0.001851825,0.8606,0.006176728
598,0.687259414,0.6879,0.000640586,0.8337,0.001833848,0.5654,0.006129611
360,0.822267422,0.821628,0.000639422,0.55485,0.001830125,0.9061,0.0061
557,0.694632284,0.693993,0.000639284,0.90183,0.00183,0.8715,0.006091507
643,0.691470371,0.690832,0.000638371,0.86934,0.00183,0.6707,0.006082417
207,0.86751,0.866875,0.000635,0.85514,0.001829979,0.8677,0.006078175
426,0.86751,0.868144,0.000634,0.89455,0.001819351,0.6814,0.006051563
46,0.689752031,0.689119,0.000633031,0.8657,0.00181,0.8472,0.006048521
799,0.862509789,0.861881,0.000628789,0.84969,0.001804886,0.8523,0.006017109
881,0.86751,0.866883,0.000627,0.9018,0.0018,0.858,0.006014923
678,0.855715424,0.856341,0.000625576,0.68804,0.00179993,0.6855,0.006008783
180,0.861740257,0.861118,0.000622257,0.90178,0.00178,0.723,0.006
907,0.9,0.899378,0.000622,0.85725,0.001778775,0.906,0.006
835,0.855471225,0.854851,0.000620225,0.84693,0.001775633,0.735,0.006
783,0.855715424,0.855096,0.000619424,0.72723,0.00177,0.8735,0.00599
873,0.687451563,0.688066,0.000614437,0.90177,0.00177,0.8566,0.005909789
932,0.86751,0.868124,0.000614,0.86337,0.001748175,0.8676,0.005859743
916,0.9,0.899388,0.000612,0.85967,0.001743538,0.8617,0.00581
303,0.729,0.729609,0.000609,0.89826,0.00174,0.9058,0.0058
851,0.672667194,0.673275,0.000607806,0.90174,0.00174,0.8683,0.005790211
202,0.9,0.899393,0.000607,0.86577,0.00174,0.8733,0.00579
138,0.892730649,0.892126,0.000604649,0.68709,0.001722575,0.8675,0.005759743
55,0.853714547,0.853111,0.000603547,0.90172,0.00172,0.8454,0.005731674
54,0.859874389,0.860477,0.000602611,0.86923,0.00172,0.5624,0.005719875
757,0.9,0.899402,0.000598,0.82882,0.001715504,0.8618,0.00571
673,0.866391247,0.865794,0.000597247,0.86922,0.00171,0.5652,0.005706617
