abs_error_1m,ipa_result,mc_1m,mc_100k,node_id,mc_10k,abs_error_10k,abs_error_100k
0.0002806771071365288,0.9162406771071365,0.91596,0.91503,1,0.9187,0.002459322892863436,0.0012106771071365152
1.8736068236879788e-6,0.7714021263931763,0.771404,0.7711,2,0.7743,0.0028978736068236977,0.000302126393176283
1.4704196198422892e-6,0.5940504704196199,0.594049,0.59598,3,0.5955,0.0014495295803801378,0.0019295295803800627
0.00015541902854271372,0.4719374190285427,0.471782,0.47372,4,0.4746,0.002662580971457329,0.0017825809714572816
0.0003873469232704707,0.5672013469232705,0.566814,0.56891,5,0.5678,0.0005986530767294607,0.001708653076729516
0.00010618151008612298,0.5315821815100861,0.531476,0.53281,6,0.5343,0.0027178184899139257,0.0012278184899139344
0.00012749073583950832,0.8227414907358395,0.822614,0.82072,7,0.8248,0.002058509264160513,0.0020214907358394596
7.306591540401364e-5,0.653610934084596,0.653684,0.65241,8,0.654,0.0003890659154039966,0.0012009340845959837
0.0006426869404913549,0.38422731305950864,0.38487,0.38341,9,0.3889,0.0046726869404913884,0.000817313059508662
0.0004128210280091027,0.7158181789719908,0.716231,0.71763,10,0.7187,0.002881821028009157,0.0018118210280091418
0.00015946648303533095,0.6863084664830353,0.686149,0.687,11,0.6891,0.002791533516964706,0.0006915335169647152
9.394527208483883e-5,0.5278170547279152,0.527911,0.527,12,0.5307,0.0028829452720847693,0.0008170547279151563
6.15112103949933e-5,0.643927511210395,0.643866,0.64446,13,0.6467,0.00277248878960501,0.0005324887896049901
0.00011047914098782918,0.5600514791409879,0.559941,0.56199,14,0.5637,0.0036485208590121276,0.0019385208590121383
0.0003274223770303175,0.5040565776229697,0.504384,0.50581,15,0.5085,0.004443422377030215,0.0017534223770302448
0.00015810403806482132,0.5759031040380648,0.575745,0.57879,16,0.5802,0.0042968959619352765,0.002886895961935254
0.0004171398139076188,0.4053581398139076,0.404941,0.40879,17,0.4113,0.005941860186092385,0.0034318601860923725
0.0004296061842492538,0.8625703938157507,0.863,0.86313,18,0.8672,0.004629606184249235,0.0005596061842492173
0.0004666296232049838,0.540381629623205,0.539915,0.54247,19,0.5383,0.002081629623205017,0.00208837037679499
0.00030487385138200374,0.414816873851382,0.414512,0.41649,20,0.4131,0.0017168738513819726,0.0016731261486180316
3.862916111407877e-5,0.617920370838886,0.617959,0.61868,21,0.6259,0.007979629161114055,0.0007596291611140504
0.00032248663708633885,0.5852194866370863,0.584897,0.58678,22,0.5855,0.00028051336291368134,0.0015605133629136292
0.00044516846668712917,0.46034816846668714,0.459903,0.46225,23,0.4567,0.0036481684666871406,0.0019018315333128588
0.0003644500409380469,0.409453450040938,0.409089,0.41006,24,0.41,0.0005465499590619483,0.0006065499590619527
0.000415948906950403,0.3274539489069504,0.327038,0.32757,25,0.3284,0.0009460510930496269,0.00011605109304957395
0.00010392710778805991,0.26284092710778806,0.262737,0.26374,26,0.2617,0.00114092710778807,0.0008990728922119162
2.9326223739328805e-5,0.20709832622373933,0.207069,0.20695,27,0.208,0.0009016737762606586,0.0001483262237393368
2.7118617275945223e-5,0.23964588138272405,0.239673,0.24036,28,0.2393,0.00034588138272403923,0.0007141186172759384
0.0003845163378015104,0.21556551633780152,0.215181,0.217,29,0.2164,0.0008344836621984875,0.001434483662198477
0.00030617867657306563,0.34996717867657307,0.349661,0.35083,30,0.3486,0.0013671786765730443,0.00086282132342691
0.000737140171527817,0.2649761401715278,0.264239,0.2657,31,0.2662,0.0012238598284721736,0.0007238598284721731
0.0007291373110885069,0.19123913731108852,0.19051,0.19109,32,0.1888,0.002439137311088524,0.0001491373110885097
0.0005945369870014039,0.3070095369870014,0.306415,0.30848,33,0.3088,0.001790463012998622,0.0014704630129985796
0.00045028836779897885,0.282262288367799,0.281812,0.28297,34,0.2853,0.0030377116322010123,0.0007077116322010135
0.000526052599416793,0.2092040525994168,0.208678,0.21097,35,0.2077,0.0015040525994167997,0.0017659474005831954
0.0007239913624321748,0.5873670086375679,0.588091,0.58689,36,0.5925,0.005132991362432171,0.00047700863756783285
0.0012959538835828344,0.5704840461164171,0.57178,0.57025,37,0.567,0.003484046116417172,0.00023404611641708595
0.0005440245083733197,0.6497019754916267,0.650246,0.64785,38,0.6536,0.003898024508373288,0.001851975491626634
0.0006846410502443501,0.6198573589497557,0.620542,0.62094,39,0.6222,0.0023426410502442874,0.0010826410502443595
