Node,AlgoValue,ComparisonValue,AbsDiff_calc,PercError_calc
198,0.073908316,0.073908316,0,0
199,0.091244834,0.091244834,0,0
200,0.112647944,0.112647944,0,0
201,0.139071535,0.139071535,0,0
203,0.31248509,0.31248509,0,0
204,0.385784061,0.385784061,0,0
206,0.338363166,0.338363166,0,0
207,0.205891132,0.205891132,0,0
208,0.277355647,0.277355647,0,0
209,0.4782969,0.4782969,0,0
210,0.387420489,0.387420489,0,0
211,0.313810596,0.313810596,0,0
212,0.254186583,0.254186583,0,0
213,0.30805213,0.30805213,0,0
214,0.203379899,0.203379899,0,0
215,0.135085172,0.135085172,0,0
216,0.109418989,0.109418989,0,0
217,0.088629381,0.088629381,0,0
218,0.109242759,0.109242759,0,0
219,0.071789799,0.071789799,0,0
220,0.058149737,0.058149737,0,0
221,0.047101287,0.047101287,0,0
222,0.038152042,0.038152042,0,0
223,0.030903154,0.030903154,0,0
224,0.025031555,0.025031555,0,0
225,0.071789799,0.071789799,0,0
227,0.071789799,0.071789799,0,0
228,0.088629381,0.088629381,0,0
229,0.109418989,0.109418989,0,0
230,0.135085172,0.135085172,0,0
231,0.166771817,0.166771817,0,0
232,0.205891132,0.205891132,0,0
233,0.254186583,0.254186583,0,0
234,0.520030417,0.520030417,0,0
235,0.4782969,0.4782969,0,0
236,0.59049,0.59049,0,0
237,0.729,0.729,0,0
238,0.729,0.729,0,0
239,0.409549425,0.409549425,0,0
240,0.313810596,0.313810596,0,0
241,0.341191957,0.341191957,0,0
242,0.205891132,0.205891132,0,0
243,0.205891132,0.205891132,0,0
244,0.166771817,0.166771817,0,0
245,0.135085172,0.135085172,0,0
246,0.109418989,0.109418989,0,0
247,0.088629381,0.088629381,0,0
248,0.205891132,0.205891132,0,0
249,0.030903154,0.030903154,0,0
250,0.038152042,0.038152042,0,0
251,0.047101287,0.047101287,0,0
252,0.058149737,0.058149737,0,0
253,0.071789799,0.071789799,0,0
254,0.088629381,0.088629381,0,0
255,0.109418989,0.109418989,0,0
256,0.135085172,0.135085172,0,0
257,0.135085172,0.135085172,0,0
258,0.265346123,0.265346123,0,0
259,0.222568314,0.222568314,0,0
262,0.25634472,0.25634472,0,0
