Node,AlgoValue,ExactValue,AbsDiff,PercError
22,0.7066590737231596,0.7066590737231646,4.9960036108132044e-15,7.069892394490644e-13
23,0.5723938497157594,0.5723938497157635,4.107825191113079e-15,7.176571154901338e-13
21,0.7122083376202002,0.7122083376202014,1.2212453270876722e-15,1.7147304553726305e-13
14,0.7074871615052536,0.707487161505254,4.440892098500626e-16,6.276993195257645e-14
11,0.7385136057383843,0.7385136057383841,2.220446049250313e-16,3.006642033399312e-14
20,0.484538776724954,0.4845387767249542,2.220446049250313e-16,4.582597215972122e-14
1,0.9,0.9,0.0,0.0
2,0.7290000000000001,0.7290000000000001,0.0,0.0
3,0.5904900000000002,0.5904900000000002,0.0,0.0
4,0.47829690000000014,0.47829690000000014,0.0,0.0
5,0.5832878525190001,0.5832878525190001,0.0,0.0
6,0.5904900000000002,0.5904900000000002,0.0,0.0
7,0.9,0.9,0.0,0.0
8,0.7290000000000001,0.7290000000000001,0.0,0.0
9,0.5904900000000002,0.5904900000000002,0.0,0.0
10,0.7549763039100003,0.7549763039100003,0.0,0.0
12,0.5904900000000002,0.5904900000000002,0.0,0.0
13,0.6996737660396448,0.6996737660396448,0.0,0.0
15,0.5904900000000002,0.5904900000000002,0.0,0.0
16,0.7290000000000001,0.7290000000000001,0.0,0.0
17,0.5904900000000002,0.5904900000000002,0.0,0.0
18,0.9,0.9,0.0,0.0
19,0.5981960206480913,0.5981960206480913,0.0,0.0
