Node,PboxMean,MCValue,Diff
305,0.8688433338076385,0.83421,0.034633333807638444
202,0.7981281162685694,0.763999,0.034129116268569404
261,0.8201258774893442,0.794036,0.026089877489344215
260,0.8087502307142655,0.804307,0.004443230714265556
51,0.4782969000000003,0.47928,0.0009830999999996815
16,0.8100000000000004,0.809101,0.0008990000000004272
280,0.34867844010000015,0.347801,0.0008774401000001264
73,0.7946100000000001,0.795482,0.0008719999999998729
58,0.387420489,0.386553,0.0008674889999999991
296,0.4782969000000003,0.477448,0.0008489000000003188
159,0.22876792454961006,0.227926,0.0008419245496100736
160,0.20589113209464913,0.205059,0.0008321320946491351
294,0.6079153599000001,0.60709,0.0008253599000001
277,0.18530201888518413,0.186124,0.0008219811148158784
7,0.31381059609000017,0.312994,0.0008165960900001767
173,0.64278320391,0.643598,0.000814796090000014
161,0.18530201888518413,0.18449,0.0008120188851841459
197,0.2722338302140361,0.271427,0.0008068302140361028
6,0.28242953648100005,0.281626,0.0008035364810000667
281,0.387420489,0.386624,0.0007964889999999558
196,0.24501044719263249,0.244218,0.000792447192632495
11,0.4782969000000003,0.477508,0.0007889000000003143
273,0.28242953648100005,0.283213,0.0007834635189999384
105,0.7067849094151495,0.70755,0.0007650905848505252
304,0.6684204491909997,0.66917,0.0007495508090002989
59,0.34867844010000015,0.347938,0.0007404401000001282
191,0.6561000000000005,0.656836,0.0007359999999995148
212,0.531441,0.532174,0.0007329999999999837
276,0.20589113209464913,0.206618,0.0007268679053508698
112,0.660389186885605,0.661114,0.0007248131143949843
211,0.5904900000000001,0.591202,0.0007119999999999349
274,0.2541865828329001,0.254886,0.000699417167099925
180,0.5213436209999999,0.522039,0.0006953790000001625
194,0.1984584622260324,0.197764,0.000694462226032394
15,0.7290000000000005,0.728312,0.000688000000000577
275,0.22876792454961006,0.229453,0.000685075450389927
259,0.5213436209999999,0.522026,0.0006823790000001217
176,0.34205354973809987,0.341375,0.0006785497380998873
4,0.22876792454961006,0.228094,0.0006739245496100721
52,0.4304672100000002,0.431137,0.0006697899999997814
8,0.34867844010000015,0.348014,0.0006644401000001632
272,0.31381059609000017,0.314474,0.0006634039099998046
278,0.16677181699666568,0.167426,0.0006541830033343077
12,0.531441,0.530801,0.0006400000000000849
218,0.3795570540768159,0.380193,0.0006359459231841114
74,0.8829000000000002,0.883535,0.0006349999999997191
57,0.4304672100000002,0.429841,0.000626210000000238
69,0.46920925889999987,0.469832,0.000622741100000157
145,0.7151490000000001,0.715765,0.0006159999999998389
286,0.5904900000000001,0.589879,0.0006110000000000282
279,0.34867844010000015,0.348076,0.0006024401000001567
104,0.5792706900000002,0.579868,0.000597309999999851
289,0.7290000000000005,0.729596,0.0005959999999994858
80,0.5904900000000001,0.591085,0.0005949999999999012
179,0.5494440421719,0.550036,0.0005919578280999538
177,0.3800594997090002,0.379468,0.0005914997090001872
72,0.6436341000000002,0.644218,0.0005838999999997485
210,0.6561000000000005,0.656672,0.0005719999999995729
195,0.22050940247336917,0.219939,0.0005704024733691748
5,0.2541865828329001,0.253617,0.0005695828329000951
257,0.387420489,0.386851,0.0005694889999999786
