Node,AlgoResults,McResults,AbsDiff,PercentageDiff
129,0.0985,0.0984,7.7e-5,0.08
202,0.4305,0.4308,0.000333,0.08
249,0.2612,0.2614,0.000215,0.08
51,0.4783,0.4787,0.000403,0.08
210,0.6561,0.6556,0.0005,0.08
225,0.2824,0.2822,0.00023,0.08
235,0.729,0.7296,0.0006,0.08
291,0.5905,0.59,0.00049,0.08
295,0.8023,0.8029,0.000645,0.08
237,0.9,0.9007,0.0007,0.08
280,0.3487,0.3484,0.000278,0.08
290,0.6561,0.6556,0.0005,0.08
66,0.3138,0.3136,0.000211,0.07
226,0.5075,0.5079,0.000373,0.07
53,0.3874,0.3877,0.00028,0.07
73,0.729,0.7285,0.0005,0.07
184,0.729,0.7295,0.0005,0.07
250,0.2902,0.2904,0.000194,0.07
289,0.729,0.7295,0.0005,0.07
25,0.5692,0.5688,0.000373,0.07
50,0.2542,0.254,0.000187,0.07
152,0.1985,0.1986,0.000142,0.07
163,0.5314,0.5318,0.000359,0.07
197,0.3955,0.3958,0.000267,0.07
209,0.729,0.7285,0.0005,0.07
287,0.5905,0.5909,0.00041,0.07
302,0.5905,0.5901,0.00039,0.07
304,0.5314,0.5318,0.000359,0.07
171,0.8448,0.8453,0.000531,0.06
43,0.4783,0.4786,0.000303,0.06
48,0.3138,0.314,0.000189,0.06
58,0.3874,0.3872,0.00022,0.06
71,0.5314,0.5311,0.000341,0.06
107,0.4783,0.4786,0.000303,0.06
174,0.5314,0.5311,0.000341,0.06
236,0.81,0.8105,0.0005,0.06
20,0.81,0.8105,0.0005,0.06
47,0.3487,0.3489,0.000222,0.06
77,0.81,0.8095,0.0005,0.06
153,0.1786,0.1785,0.000113,0.06
203,0.4783,0.4786,0.000303,0.06
233,0.7491,0.7495,0.000429,0.06
248,0.4783,0.478,0.000297,0.06
256,0.5461,0.5464,0.000327,0.06
274,0.399,0.3992,0.000246,0.06
19,0.9,0.9005,0.0005,0.06
121,0.3874,0.3872,0.00022,0.06
162,0.4783,0.478,0.000297,0.06
199,0.4883,0.4886,0.000288,0.06
155,0.1447,0.1446,7.6e-5,0.05
8,0.3487,0.3485,0.000178,0.05
106,0.6756,0.6753,0.000332,0.05
253,0.3981,0.3979,0.000187,0.05
22,0.6561,0.6558,0.0003,0.05
52,0.4305,0.4307,0.000233,0.05
72,0.5905,0.5902,0.00029,0.05
164,0.5905,0.5908,0.00031,0.05
191,0.6561,0.6558,0.0003,0.05
192,0.5905,0.5902,0.00029,0.05
198,0.4395,0.4397,0.000219,0.05
251,0.3225,0.3226,0.000149,0.05
265,0.5314,0.5317,0.000259,0.05
285,0.5905,0.5908,0.00031,0.05
296,0.83,0.8304,0.00039,0.05
301,0.4149,0.4147,0.000227,0.05
46,0.3874,0.3876,0.00018,0.05
80,0.5905,0.5902,0.00029,0.05
263,0.5314,0.5312,0.000241,0.05
