Node,AlgoValue,ExactValue,AbsDiff,PercError
261,0.793853001222456,0.7938530012224494,6.5503158452884236e-15,8.251295687238861e-13
260,0.8034061931247998,0.8034061931247984,1.3322676295501878e-15,1.6582740349167782e-13
202,0.7637042913614414,0.7637042913614401,1.2212453270876722e-15,1.599107587716422e-13
205,0.8476375742651594,0.8476375742651602,7.771561172376096e-16,9.168495366800453e-14
304,0.668420449191,0.6684204491910004,4.440892098500626e-16,6.643860318569706e-14
72,0.6436341,0.6436341000000003,3.3306690738754696e-16,5.1747865345783704e-14
98,0.6436341,0.6436341000000003,3.3306690738754696e-16,5.1747865345783704e-14
181,0.6436341,0.6436341000000003,3.3306690738754696e-16,5.1747865345783704e-14
182,0.7605171922219748,0.7605171922219751,3.3306690738754696e-16,4.379479001841334e-14
203,0.6868722244559519,0.6868722244559522,3.3306690738754696e-16,4.8490373540924263e-14
298,0.6436341,0.6436341000000003,3.3306690738754696e-16,5.1747865345783704e-14
69,0.4692092589,0.4692092589000002,2.220446049250313e-16,4.732315075060238e-14
70,0.521343621,0.5213436210000002,2.220446049250313e-16,4.2590835675542146e-14
92,0.4692092589,0.4692092589000002,2.220446049250313e-16,4.732315075060238e-14
100,0.521343621,0.5213436210000002,2.220446049250313e-16,4.2590835675542146e-14
101,0.6748484673736345,0.6748484673736347,2.220446049250313e-16,3.290288348570772e-14
113,0.4692092589,0.4692092589000002,2.220446049250313e-16,4.732315075060238e-14
145,0.7151489999999999,0.7151490000000001,2.220446049250313e-16,3.1048719207470224e-14
163,0.7631913605066132,0.763191360506613,2.220446049250313e-16,2.9094224124554576e-14
168,0.781701297381,0.7817012973809998,2.220446049250313e-16,2.8405300805942908e-14
169,0.7345105110000001,0.7345105110000003,2.220446049250313e-16,3.023028283458169e-14
180,0.521343621,0.5213436210000002,2.220446049250313e-16,4.2590835675542146e-14
204,0.7631913605066132,0.763191360506613,2.220446049250313e-16,2.9094224124554576e-14
259,0.521343621,0.5213436210000002,2.220446049250313e-16,4.2590835675542146e-14
305,0.8345444863366425,0.8345444863366427,2.220446049250313e-16,2.6606682874358102e-14
65,0.30784819476429004,0.30784819476429015,1.1102230246251565e-16,3.606397709998657e-14
66,0.34205354973810004,0.34205354973810015,1.1102230246251565e-16,3.245757938998791e-14
67,0.38005949970900005,0.38005949970900016,1.1102230246251565e-16,2.9211821450989125e-14
68,0.42228833301,0.4222883330100001,1.1102230246251565e-16,2.6290639305890215e-14
73,0.7946099999999999,0.79461,1.1102230246251565e-16,1.3971923643361605e-14
74,0.8828999999999999,0.8829,1.1102230246251565e-16,1.2574731279025445e-14
93,0.646105669536271,0.6461056695362711,1.1102230246251565e-16,1.718330417100342e-14
104,0.5792706900000001,0.57927069,1.1102230246251565e-16,1.9165876053993972e-14
105,0.7067849094151495,0.7067849094151496,1.1102230246251565e-16,1.5708074830627666e-14
112,0.6603891868856054,0.6603891868856056,1.1102230246251565e-16,1.6811647535614063e-14
116,0.30784819476429004,0.30784819476429015,1.1102230246251565e-16,3.606397709998657e-14
117,0.34205354973810004,0.34205354973810015,1.1102230246251565e-16,3.245757938998791e-14
118,0.38005949970900005,0.38005949970900016,1.1102230246251565e-16,2.9211821450989125e-14
120,0.4692092589000001,0.4692092589000002,1.1102230246251565e-16,2.366157537530119e-14
