DAG_Node_ID,Original_Node_ID,Facility_Name,Node_Type,Latitude,Longitude,Mission_Role
7,16,"Dundee Airport",A,56.45249939,-3.02583003,network
242,287,"CAMHS Hospital Unit",H,56.46500792,-2.983789281,network
47,44,"new",new,56.54605839,-4.733614026,network
221,266,"Dundonald Centre",H,56.4725958,-2.960314842,network
12,31,"Islay Airport",A,55.68190002,-6.256669998,network
172,217,"Coathill Hospital",H,55.84868464,-4.024619696,network
101,146,"Blythswood House",H,55.88034649,-4.387317634,network
25,61,"Edinburgh Royal Infirmary",H,55.92195904,-3.137185357,DESTINATION
10,29,"Inverness Airport",A,57.54249954,-4.047500134,network
167,212,"New Craigs Hospital",H,57.46905256,-4.268277089,network
183,228,"Airbles Road Centre",H,55.78262449,-3.982019232,network
114,159,"Florence Street Mental Health Resource Centre",H,55.85186975,-4.245560573,network
148,193,"Argyll and Bute Hospital",H,56.03530247,-5.427977833,network
181,226,"Strathclyde Hospital",H,55.78452134,-4.00085727,network
42,101,"The Knoll Hospital",H,55.77263743,-2.339900107,network
60,105,"Kelso Hospital",H,55.60327133,-2.431912461,DESTINATION
178,223,"Lady Home Cottage Hospital",H,55.55827099,-3.837814533,network
240,285,"Kingsway Care Centre",H,56.4771138,-2.998909269,network
226,271,"Blairgowrie & Rattray Cottage Hospital",H,56.5860307,-3.344854159,network
121,166,"Riverside Resource Centre",H,55.87101907,-4.294682696,network
153,198,"Lorn & Islands Hospital",H,56.40055912,-5.473792316,network
169,214,"Dunaros Community Hospital",H,56.51566045,-5.946832131,network
20,80,"Stornoway Airport",A,58.215599,-6.33111,network
229,274,"Arbroath Infirmary",H,56.55466136,-2.595360853,network
201,246,"Royal Hospital for Sick Children (Edinburgh)",H,55.93814726,-3.185436819,network
98,143,"Vale of Leven General Hospital",H,55.99316724,-4.590578906,network
21,15,"Victoria Hospital",H,56.12519279,-3.158700518,DESTINATION
38,97,"Arrol Park Resource Centre",H,55.44916677,-4.638514148,network
239,284,"Perth Dental Hospital",H,56.3913228,-3.484987106,network
89,134,"Glenrothes Hospital",H,56.2051741,-3.181070675,network
65,110,"Eyemouth Day Hospital",H,55.87120209,-2.089405295,network
11,30,"Wick Airport",A,58.45890045,-3.093060017,network
5,6,"Borders General Hospital",H,55.59548794,-2.740474678,SOURCE
189,234,"Red Deer Centre/Day Hospital",H,55.75803944,-4.195753549,network
174,219,"Wester Moffat Hospital",H,55.86892035,-3.939577701,network
227,272,"Murray Royal Hospital",H,56.40047419,-3.410730583,network
137,182,"Jubilee Hospital",H,57.44344284,-2.788813164,network
119,164,"Anvil Resource Centre",H,55.85235273,-4.191942313,network
108,153,"Stobhill Hospital",H,55.89296032,-4.218565887,network
141,186,"Buckie Day Hospital",H,57.6681016,-2.980266204,network
208,253,"Whitburn Day Hospital",H,55.86709634,-3.687680614,network
17,64,"Kirkwall Airport",A,58.95780182,-2.904999971,network
222,267,"Royal Victoria Day Hospital",H,56.46265803,-3.012311044,network
31,90,"Arran War Memorial Hospital",H,55.54315331,-5.114359851,network
94,139,"Stirling Community Hospital",H,56.106903,-3.934580493,network
45,104,"Andrew Lang Unit",H,55.55033014,-2.839448313,network
